Page Name,User Name,Page Id,URL,Beginning Of Interval,Complete,Page Likes,Page Like Growth,Post Count,Total Interactions,Interaction Growth,Interaction Rate,Interactions Per Post,Comments,Shares,Total Reactions (including Likes),Likes,Angry,Haha,Wow,Sad,Love,Photo Posts,Photo Interactions,Photo Interaction Rate,Link Posts,Link Interactions,Link Interaction Rate,Status Posts,Status Interactions,Status Interaction Rate,Facebook Video Posts (excluding Live),Facebook Video Interactions (excluding Live),Facebook Video Interaction Rate (excluding Live),Facebook Live Video Posts,Facebook Live Interactions,Facebook Live Interaction Rate,Owned Facebook Video Posts (FB Video and Live),Owned Video Views (FB Video and Live),Owned Video Views from Page Posts (FB Video and Live),Owned Video Views (FB Video),Owned Video Views (FB Live),Owned Video Views from Shares (FB Video and Live),Videos Shared by Page (not included in Owned Videos),Video Views on Videos Shared by Page,Total Video Time,Videos - Unknown - Owned Video Views,Videos - Unknown - Owned Video Views from Page Posts,Videos - Unknown - Owned Facebook Videos,Videos - Unknown - Videos Shared By Page (not included in Owned Videos),Videos - Unknown - Video Views on Videos Shared by Page,Videos - 0-15 Seconds - Owned Video Views,Videos - 0-15 Seconds - Owned Video Views from Page Posts,Videos - 0-15 Seconds - Owned Facebook Videos,Videos - 0-15 Seconds - Videos Shared By Page (not included in Owned Videos),Videos - 0-15 Seconds - Video Views on Videos Shared by Page,Videos - 15-30 Seconds - Owned Video Views,Videos - 15-30 Seconds - Owned Video Views from Page Posts,Videos - 15-30 Seconds - Owned Facebook Videos,Videos - 15-30 Seconds - Videos Shared By Page (not included in Owned Videos),Videos - 15-30 Seconds - Video Views on Videos Shared by Page,Videos - 31-60 Seconds - Owned Video Views,Videos - 31-60 Seconds - Owned Video Views from Page Posts,Videos - 31-60 Seconds - Owned Facebook Videos,Videos - 31-60 Seconds - Videos Shared By Page (not included in Owned Videos),Videos - 31-60 Seconds - Video Views on Videos Shared by Page,Videos - 1-2 Minutes - Owned Video Views,Videos - 1-2 Minutes - Owned Video Views from Page Posts,Videos - 1-2 Minutes - Owned Facebook Videos,Videos - 1-2 Minutes - Videos Shared By Page (not included in Owned Videos),Videos - 1-2 Minutes - Video Views on Videos Shared by Page,Videos - 2-3 Minutes - Owned Video Views,Videos - 2-3 Minutes - Owned Video Views from Page Posts,Videos - 2-3 Minutes - Owned Facebook Videos,Videos - 2-3 Minutes - Videos Shared By Page (not included in Owned Videos),Videos - 2-3 Minutes - Video Views on Videos Shared by Page,Videos - 3+ Minutes - Owned Video Views,Videos - 3+ Minutes - Owned Video Views from Page Posts,Videos - 3+ Minutes - Owned Facebook Videos,Videos - 3+ Minutes - Videos Shared By Page (not included in Owned Videos),Videos - 3+ Minutes - Video Views on Videos Shared by Page,Live Videos - Unknown - Owned Video Views,Live Videos - Unknown - Owned Video Views from Page Posts,Live Videos - Unknown - Owned Facebook Videos,Live Videos - Unknown - Videos Shared By Page (not included in Owned Videos),Live Videos - Unknown - Video Views on Videos Shared by Page,Live Videos - 0-15 Seconds - Owned Video Views,Live Videos - 0-15 Seconds - Owned Video Views from Page Posts,Live Videos - 0-15 Seconds - Owned Facebook Videos,Live Videos - 0-15 Seconds - Videos Shared By Page (not included in Owned Videos),Live Videos - 0-15 Seconds - Video Views on Videos Shared by Page,Live Videos - 15-30 Seconds - Owned Video Views,Live Videos - 15-30 Seconds - Owned Video Views from Page Posts,Live Videos - 15-30 Seconds - Owned Facebook Videos,Live Videos - 15-30 Seconds - Videos Shared By Page (not included in Owned Videos),Live Videos - 15-30 Seconds - Video Views on Videos Shared by Page,Live Videos - 31-60 Seconds - Owned Video Views,Live Videos - 31-60 Seconds - Owned Video Views from Page Posts,Live Videos - 31-60 Seconds - Owned Facebook Videos,Live Videos - 31-60 Seconds - Videos Shared By Page (not included in Owned Videos),Live Videos - 31-60 Seconds - Video Views on Videos Shared by Page,Live Videos - 1-2 Minutes - Owned Video Views,Live Videos - 1-2 Minutes - Owned Video Views from Page Posts,Live Videos - 1-2 Minutes - Owned Facebook Videos,Live Videos - 1-2 Minutes - Videos Shared By Page (not included in Owned Videos),Live Videos - 1-2 Minutes - Video Views on Videos Shared by Page,Live Videos - 2-3 Minutes - Owned Video Views,Live Videos - 2-3 Minutes - Owned Video Views from Page Posts,Live Videos - 2-3 Minutes - Owned Facebook Videos,Live Videos - 2-3 Minutes - Videos Shared By Page (not included in Owned Videos),Live Videos - 2-3 Minutes - Video Views on Videos Shared by Page,Live Videos - 3+ Minutes - Owned Video Views,Live Videos - 3+ Minutes - Owned Video Views from Page Posts,Live Videos - 3+ Minutes - Owned Facebook Videos,Live Videos - 3+ Minutes - Videos Shared By Page (not included in Owned Videos),Live Videos - 3+ Minutes - Video Views on Videos Shared by Page,Other Video Posts,Other Video Interactions,Other Video Interaction Rate,YouTube Posts,YouTube Interactions,YouTube Interaction Rate
Luis Fernando Camacho,LFCamachoVaca,1239026999516818,//www.facebook.com/1239026999516818,2020-03-09 00:00:00,Yes,418382,0.02%,2,6010,-25.51%,0.72%,"3,005",645,773,4592,2825,109,910,1,5,742,0,0,NA,0,0,NA,0,0,NA,2,6010,0.7182431366550186%,0,0,NA,2,47995,37682,37682,0,10313,0,0,N/A,0,0,0,0,0,0,0,0,0,0,15762,13382,1,0,0,0,0,0,0,0,32233,24300,1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,NA,0,0,NA
Luis Fernando Camacho,LFCamachoVaca,1239026999516818,//www.facebook.com/1239026999516818,2020-03-10 00:00:00,Yes,418356,-0.01%,3,12276,104.26%,0.98%,"4,092",1691,1737,8848,5752,200,1581,22,42,1251,1,2820,0.6740670625017927%,0,0,NA,0,0,NA,2,9456,1.1301379686200268%,0,0,NA,2,194280,171594,171594,0,22686,0,0,N/A,0,0,0,0,0,0,0,0,0,0,159904,153166,1,0,0,34376,18428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,NA,0,0,NA
Luis Fernando Camacho,LFCamachoVaca,1239026999516818,//www.facebook.com/1239026999516818,2020-03-11 00:00:00,Yes,418299,-0.01%,3,5372,-56.24%,0.43%,"1,790.67",649,812,3911,2880,37,271,7,1,715,0,0,NA,0,0,NA,0,0,NA,3,5372,0.42792356663534936%,0,0,NA,3,63804,54181,54181,0,9623,0,0,N/A,0,0,0,0,0,26349,26125,1,0,0,37455,28056,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,NA,0,0,NA
Luis Fernando Camacho,LFCamachoVaca,1239026999516818,//www.facebook.com/1239026999516818,2020-03-12 00:00:00,Yes,418342,0.01%,6,11147,107.5%,0.44%,"1,857.83",1235,1261,8651,6246,143,632,11,4,1614,2,4623,0.5524188343508422%,0,0,NA,0,0,NA,3,4856,0.3867648957073399%,1,1668,0.39871683933241225%,4,76067,66766,51090,15676,9301,0,0,00:03:13,0,0,0,0,0,590,545,1,0,0,0,0,0,0,0,54955,50545,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20522,15676,1,0,0,0,0,NA,0,0,NA
Luis Fernando Camacho,LFCamachoVaca,1239026999516818,//www.facebook.com/1239026999516818,2020-03-13 00:00:00,Yes,418352,0%,3,10519,-5.63%,0.84%,"3,506.33",1020,1317,8182,5875,77,678,8,2,1542,1,6957,1.6629536849351743%,0,0,NA,0,0,NA,2,3562,0.42571805560867404%,0,0,NA,2,20761,17552,17552,0,3209,0,0,N/A,0,0,0,0,0,7364,6284,1,0,0,13397,11268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,NA,0,0,NA
Luis Fernando Camacho,LFCamachoVaca,1239026999516818,//www.facebook.com/1239026999516818,2020-03-14 00:00:00,Yes,418406,0.01%,4,15635,48.64%,0.93%,"3,908.75",2789,1758,11088,7245,166,1962,28,12,1675,3,12624,1.0057217152717695%,0,0,NA,0,0,NA,1,3011,0.7196359516832933%,0,0,NA,1,51674,38484,38484,0,13190,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51674,38484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,NA,0,0,NA
Luis Fernando Camacho,LFCamachoVaca,1239026999516818,//www.facebook.com/1239026999516818,2020-03-15 00:00:00,Yes,418441,0.01%,5,11322,-27.59%,0.54%,"2,264.4",1308,1584,8430,5990,108,831,17,13,1463,3,5168,0.41152755107649586%,0,0,NA,0,0,NA,1,4593,1.0976457851883539%,1,1561,0.3730513979270674%,2,93496,44263,25694,18569,49233,0,0,00:23:02,0,0,0,0,0,0,0,0,0,0,66724,25694,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26772,18569,1,0,0,0,0,NA,0,0,NA
Luis Fernando Camacho,LFCamachoVaca,1239026999516818,//www.facebook.com/1239026999516818,2020-03-16 00:00:00,Yes,418537,0.02%,4,16850,48.83%,1.01%,"4,212.5",2623,1826,12401,8012,44,1902,18,7,2418,1,8097,1.9345959855401076%,0,0,NA,0,0,NA,2,5008,0.5982744655789094%,1,3745,0.8947834958438561%,3,111468,63827,33621,30206,47641,0,0,00:06:26,0,0,0,0,0,0,0,0,0,0,8759,8173,1,0,0,0,0,0,0,0,32620,25448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70089,30206,1,0,0,0,0,NA,0,0,NA
Luis Fernando Camacho,LFCamachoVaca,1239026999516818,//www.facebook.com/1239026999516818,2020-03-17 00:00:00,Yes,418629,0.02%,5,14484,-14.04%,0.69%,"2,896.8",1865,2464,10155,7505,391,999,47,205,1008,2,5232,0.6248969851586966%,0,0,NA,0,0,NA,3,9252,0.736690482503601%,0,0,NA,3,198966,189404,189404,0,9562,0,0,N/A,0,0,0,0,0,18136,16352,1,0,0,0,0,0,0,0,180830,173052,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,NA,0,0,NA
Luis Fernando Camacho,LFCamachoVaca,1239026999516818,//www.facebook.com/1239026999516818,2020-03-18 00:00:00,Yes,418710,0.02%,2,27809,92%,3.32%,"13,904.5",3244,2318,22247,14311,612,4627,53,25,2619,2,27809,3.320675407800148%,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,NA,0,0,NA
